protocol,split_name,model,feature_setting,K,mae,rmse,spearman,late_mae,monotonic_violation_rate
cross_condition,cross_train_C1_C3_test_C2,latent_ode,original,40.0,0.313321004338724,0.34819165455197154,0.6268185204450776,0.18830449894592036,0.3664600106655654
cross_condition,cross_train_C2_C3_test_C1,LSTM,wavelet_only,40.0,0.12056821390197017,0.14247763365224148,0.434497542973296,0.09326450475325791,0.14249622791213706
cross_condition,cross_train_C2_C3_test_C1,LSTM,frequency,40.0,0.13862004851139603,0.16091448169828762,0.9604251378352864,0.07456810217143299,0.03418016460596038
cross_condition,cross_train_C2_C3_test_C1,TCN,wavelet_only,40.0,0.14152901979643764,0.18288830310309057,0.6026330626215766,0.1282803240018842,0.16416211448275514
cross_condition,cross_train_C2_C3_test_C1,Transformer,original,40.0,0.14571940152387977,0.17504393234300986,0.42733412937781345,0.14775277356398436,0.14739812687214301
cross_condition,cross_train_C2_C3_test_C1,TCN,original,40.0,0.1495396366926282,0.16612917425547855,0.851852381786075,0.16995053472524918,0.21218693406419092
cross_condition,cross_train_C2_C3_test_C1,latent_ode,time,40.0,0.15985252424236565,0.20013521116612737,0.2939018450272126,0.1979504445142928,0.4209182944096894
cross_condition,cross_train_C2_C3_test_C1,Transformer,frequency,40.0,0.17411795359974844,0.20981709824413025,0.8171778376779641,0.14529152830102385,0.1553144669323315
cross_condition,cross_train_C2_C3_test_C1,LSTM,original,40.0,0.19585438319908322,0.22258370419851894,0.6591610455510322,0.19674910586958597,0.13433939242461765
cross_condition,cross_train_C2_C3_test_C1,LSTM,time,40.0,0.20081007262843795,0.23095591792087614,0.6386267957202284,0.19016551403108123,0.18453701515617335
cross_condition,cross_train_C2_C3_test_C1,TCN,frequency,40.0,0.20186423449352014,0.2384209303936112,0.8961539580895674,0.2234005823630436,0.10596274383112514
cross_condition,cross_train_C2_C3_test_C1,Ridge,wavelet_only,,0.21396310362407034,0.25814918550134874,0.5808533004403602,0.20334883002120674,0.30324729896532243
cross_condition,cross_train_C2_C3_test_C1,Ridge,original,,0.21404314436779845,0.2563710531178371,0.36124170304877545,0.1957349869765043,0.38558138024280236
cross_condition,cross_train_C2_C3_test_C1,Transformer,time,40.0,0.2170404108926213,0.24488909107801243,0.6230141255895931,0.17720921748253318,0.23519099373314836
